Company Name,Company Website,Twitter #1,Twitter #2,Twitter #3,Facebook #1,Facebook #2,Facebook #3,Phone Number,Contact Page
INTL FCStone,http://intlfcstone.com/Pages/default.aspx,INTLFCStone,FCStoneBrasil,RT_FCStone,http://www.facebook.com/pages/Fcstone/108578682499152,N/A,N/A,212-485-3500,http://intlfcstone.com/contact/Pages/default.aspx
Lockheed Martin,http://www.lockheedmartin.com/,LockheedMartin ,LMPAS09,W4MFC,http://www.facebook.com/lockheedmartin,http://www.facebook.com/pages/Lockheed-Martin/111997062149255,http://www.facebook.com/pages/Lockheed-Martin/194596680573741,301-897-6000,http://www.lockheedmartin.com/contact_us/BusinessDevelopmentContacts.html
Merck,http://www.merck.com/index.html,mrl_flash ,MMercuriadis,N/A,http://www.facebook.com/pages/Merck/115239148488920,http://www.facebook.com/pages/Merck-Careers/44283616752,http://www.facebook.com/pages/Merck/115026958510172,908-423-1000,http://www.merck.com/contact/home.html
Goldman Sachs Group,http://www2.goldmansachs.com/,N/A,N/A,N/A,http://www.facebook.com/pages/Goldman-Sachs/103062683066840,N/A,N/A,212-902-1000,http://www2.goldmansachs.com/services/financing/lending/lender-finance/contacts.html
Express Scripts,http://www.express-scripts.com/,EScripts,esiworkers_Pa ,Express_Scripts ,http://www.facebook.com/pages/Express-Scripts/108260845867968,N/A,N/A,N/A,http://www.express-scripts.com/contact/
Intel,http://www.intel.com/content/www/us/en/homepage.html,intel ,intelnews,IntelSoftware ,http://www.facebook.com/Intel,http://www.facebook.com/apps/application.php?id=151472421569461,http://www.facebook.com/IntelIndia,408-765-8080,http://www.intel.com/content/www/us/en/company-overview/contact-us.html
Sears Holdings,http://www.searsholdings.com/,SearsHoldings,BlueLGCrew,ManageMyLife,http://www.facebook.com/pages/Sears-Holdings/112382385447345,http://www.facebook.com/SHCCareers,N/A,847-286-2500,http://www.searsholdings.com/about/loc.htm
Caterpillar,http://www.caterpillar.com/,CaterpillarInc,CatUsedcom,caterpillarrai ,http://www.facebook.com/caterpillar.radio2,http://www.facebook.com/caterpillar,N/A,309-675-1000,http://www.caterpillar.com/contact
Chrysler Group,http://www.chryslergroupllc.com/en-us/Pages/Home.aspx,Chrysler ,MikeDriehorst ,chryslergrouppr ,http://www.facebook.com/Chrysler,http://www.facebook.com/pages/Chrysler-Group/155748151112691,N/A,800-247-9753,http://www.chryslergroupllc.com/en-us/footer/Pages/ContactUs.aspx
Safeway,http://www.safeway.com/IFL/Grocery/Home,Safeway,SafewayClassic,N/A,http://www.facebook.com/Safeway,http://www.facebook.com/SafewayCanada,N/A,866-239-1376 ,http://www.safeway.com/IFL/Grocery/Contact-Us
Supervalu,http://www.supervalu.com/sv-webapp/,supervaluPR,SuperValuIRL,supervalufoods,http://www.facebook.com/SuperValuIreland,http://www.facebook.com/SuperValu,http://www.facebook.com/pages/SuperValu/256787799133,952-828-4000,http://www.supervalu.com/sv-webapp/contact/directory.jsp
Cisco Systems,http://www.cisco.com/,CiscoSystems,CiscoGeeks,CiscoCollab,http://www.facebook.com/ciscosecurity,http://www.facebook.com/pages/Cisco-Systems/112463015433208,http://www.facebook.com/pages/Cisco-Systems/49405382185,408-526-4000,http://www.cisco.com/web/siteassets/contacts/international.html#~tab-f?reloaded=true,,,
Morgan Stanley,http://www.morganstanley.com/,StStanley,N/A,N/A,http://www.facebook.com/pages/Morgan-Stanley/16709413101,http://www.facebook.com/pages/Morgan-Stanley/112316212117655,N/A,212-761-4000,http://www.morganstanleyindividual.com/ourcommitment/contact.asp,,,
Prudential Financial,http://www.prudential.com/view/page/public,joshstoffregen,N/A,PrudentialComm,http://www.facebook.com/pages/Prudential-Financial/103763179663008,N/A,N/A,888-778-2888,http://www.prudential.com/view/page/public/11840,,,
Walt Disney,http://corporate.disney.go.com/,WaltDisneyWorld,DisneyPictures,DisneyParks ,http://www.facebook.com/WaltDisneyWorld,http://www.facebook.com/DisneyAnimation,http://www.facebook.com/disneymusic?sk=wall,407-828-3550,http://corporate.disney.go.com/corporate/sourcing_contact.html,,,
Comcast,http://www.comcast.com/default.cspx,ComcastSteve,comcastvoices,ComcastMichael ,http://www.facebook.com/pages/Comcast/105523912813955,http://www.facebook.com/pages/Comcast/150538791657327,N/A,800-266-2278,http://www.comcast.com/Corporate/Customers/contactus/ContactUs.html,,,
Sysco,http://sysco.com/,ruffnurass,SyscoStock,SyscoGeek ,http://www.facebook.com/pages/Sysco/105545109479091,N/A,http://www.facebook.com/pages/SYSCO/101968386517241,281-584-1390 ,http://sysco.com/contact-us.html,,,
Sunoco,http://www.sunocoinc.com/site,sunoco_oil ,Sunoco_Japan,Sunoco_UK,http://www.facebook.com/OfficialFuel,http://www.facebook.com/apps/application.php?id=163921357005641,http://www.facebook.com/pages/Sunoco/105673362799246,215-977-3000,http://www.sunocoinc.com/Site/ContactSunoco/,,,
Abbott Laboratories,http://www.abbott.com/index2.htm,Abbott_Labs,KrisLudington ,N/A,http://www.facebook.com/pages/Abbott-Laboratories/106148246082995,http://www.facebook.com/LabsAreVital,N/A,847-937-6100,http://www.abbott.com/global/url/content/en_US/10.40.280:280/general_content/Global_Location_Profile_0066.htm,,,
New York Life Insurance,http://www.newyorklife.com/,NewYorkLife,WSJ ,BigEastNYL,http://www.facebook.com/newyorklife?sk=wall,http://www.facebook.com/pages/New-York-Life-Insurance-Company/109648859054423,N/A,212-576-7000,http://www.newyorklife.com/nyl/v/index.jsp?contentId=8&vgnextoid=be78a2b3019d2210a2b3019d221024301cacRCRD&vgnextchannel=353c255fe92d2210VgnVCM740000ae841cacRCRD,,,
Northrop Grumman,http://www.northropgrumman.com/,northropgrumman,dbaumertmoyik ,GoWeightless ,http://www.facebook.com/NorthropGrumman,http://www.facebook.com/pages/Northrop-Grumman/103765419662542,http://www.facebook.com/NorthropGrummanAerospaceSystemsCareers,703-280-2900,http://www.northropgrumman.com/locations/index.html,,,
FedEx,http://fedex.com/,FedExCares,FedExNews,FedExDelivers,http://www.facebook.com/Fedex,http://www.facebook.com/pages/Fed-Ex/112061345480493,N/A,800-463-3339,http://www.fedex.com/us/customersupport/index.html,,,
Hess,http://www.hess.com/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,800-437-7265,https://www.hessenergy.com/customer/contact.htm,,,
Ingram Micro,http://www.ingrammicro.com/,IngramMicroInc,IngramMicroMi,IngramMicroNL,http://www.facebook.com/IngramMicro,http://www.facebook.com/pages/Ingram-Micro/109595932399953,N/A,714-566-1000,"http://www.ingrammicro.com/us/0,,15178_15106_15107_15108,00.html"
Johnson Controls,http://www.johnsoncontrols.com/publish/us/en.html,EfficiencyNow,SecureBuilding,_JCI,http://www.facebook.com/pages/Johnson-Controls/113202895357749,http://www.facebook.com/pages/Johnson-Controls/106640676047819,N/A,414-524-6114,http://www.johnsoncontrols.com/publish/us/en/news.html?newsitem=http%3A%2F%2Fjohnsoncontrols.mediaroom.com%2Findex.php%3Fs%3D11,,,
Aetna,http://www.aetna.com/,aetnastudent,AetnaGlobal,AetnaFoodFight ,http://www.facebook.com/pages/Aetna/105515602814384,N/A,N/A,860-273-0123,http://www.aetna.com/about-aetna-insurance/aetna-corporate-profile/index.html,,,
Amazon.com,http://www.amazon.com/,amazondeals ,amazonbooks ,amazongreen,http://www.facebook.com/Amazon,http://www.facebook.com/AmazonMoviesTV,http://www.facebook.com/AmazonMagazines,206-622-2335,http://www.amazon.com/Locations-Careers/b?ie=UTF8&node=239366011,,,
Humana,http://www.humana.com/,N/A,N/A,N/A,http://www.facebook.com/pages/Humana/109776919041342,N/A,N/A,800-486-2620,http://www.humana.com/resources/support_center/contact.aspx
Enterprise Products Partners,http://www.enterpriseproducts.com/,N/A,N/A,N/A,http://www.facebook.com/pages/Enterprise-Products-Partners/106589682711229,,,713-381-6500,http://www.enterpriseproducts.com/misc/contactUs.shtm
Honeywell International,http://honeywell.com/Pages/Home.aspx,HoneywellSec ,HoneywellNow ,HWusers ,http://www.facebook.com/pages/Honeywell/107982359223732,N/A,N/A,877-841-2840,https://honeywell.com/Pages/contact-us.aspx
Liberty Mutual Insurance Group,http://www.libertymutual.com/,WorkAtLiberty ,TheFreeNation ,N/A,http://www.facebook.com/pages/Liberty-Mutual-Insurance-Group/108656992499513,http://www.facebook.com/libertymutual,N/A,617-357-9500,http://www.libertymutual.com/customer-service/contact-us
News Corp.,http://www.newscorp.com/,BBCBreaking ,N/A,N/A,http://www.facebook.com/pages/News-Corp/130438637022321,http://www.facebook.com/pages/News-Corporation/103117589728244,N/A,877-277-9781 ,http://www.newscorp.com/investor/contact.html
DuPont,http://www2.dupont.com/DuPont_Home/en_US/index.html,DuPont_News ,DuPont_ability ,N/A,http://www.facebook.com/pages/DuPont/112399418776355,N/A,N/A,888-313-6147,http://www2.dupont.com/Government/en_US/contact.html
Sprint Nextel,http://www.sprint.com/index_n.html?brand=Nextel,sprintnews ,SprintNY ,sprint ,http://www.facebook.com/pages/Sprint-Nextel/112576812091162,http://www.facebook.com/sprint,N/A,800-927-2199,http://www.sprint.com/contactus/?INTNAV=ATG:FT:ContactUs
General Dynamics,http://generaldynamics.com/,gduknews ,N/A,N/A,http://www.facebook.com/pages/General-Dynamics/103994649636934,http://www.facebook.com/gdais1,N/A,703-876-3000,http://generaldynamics.com/about/contacts/business-units-contacts/
TIAA-CREF,https://www.tiaa-cref.org/public/index.html,TC_Talks,TC_Forum,TC_Institute,http://www.facebook.com/tiaa-cref,http://www.facebook.com/pages/TIAA-CREF/110138552340720,N/A,800 842-2252,http://www.tiaa-cref.org/public/support/contact/index.html?tc_lnk=toputlity
Delta Air Lines,http://www.delta.com/,DeltaNewsroom,DeltaAssist ,Delta ,http://www.facebook.com/pages/Delta-Airlines/102169313157763,http://www.facebook.com/delta,http://www.facebook.com/pages/Delta-Air-Lines/122930807787994,404-715-2600,http://www.delta.com/help/contact_us/corporate_information/index.jsp
Allstate,http://www.allstate.com/,Allstate,AllstateNews ,N/A,http://www.facebook.com/Allstate,http://www.facebook.com/pages/Allstate/103779819660478,N/A,-800-255-7828,http://www.allstate.com/contactus.aspx
HCA Holdings,http://hcahealthcare.com/home/index.dot,HCAhealthcare,N/A,N/A,http://www.facebook.com/pages/Hospital-Corporation-of-America/113256635352868,N/A,N/A,615-344-9551,http://hcahealthcare.com/contact/
American Express,https://www.americanexpress.com/,AmericanExpress,AskAmex,AmexOffers_UK,http://www.facebook.com/americanexpress,http://www.facebook.com/Open,N/A,800-528-4800,https://www212.americanexpress.com/dsmlive/dsm/int/contactus/personalcards.do?vgnextoid=c3d6c697b3bdc110VgnVCM100000defaad94RCRD&page=1&inav=iNavUtilContact
Tyson Foods,http://www.tysonfoods.com/,TysonFoods,TysonFdSvc ,jeffreygwood,http://www.facebook.com/pages/Tyson-Foods/113067668708013,http://www.facebook.com/pages/Careers-at-Tyson-Foods/29934089842,N/A,800-643-3410,http://www.tysonfoods.com/Contact-Us/Overview-and-FAQ.aspx
Philip Morris International,http://www.pmi.com/eng/pages/homepage.aspx,PMInstitute,pmiagile,PMIRIO ,http://www.facebook.com/pages/Phillip-Morris-International/170070423054856,N/A,N/A,N/A,http://www.pmi.com/eng/pages/comments_and_suggestions.aspx
Time Warner,http://www.timewarner.com/,TWCable_NYC,TWCable_LA,AlexTWC,http://www.facebook.com/TimeWarner,http://www.facebook.com/timewarnercable,N/A,212-484-8000,http://www.timewarner.com/contact-us/
Oracle,http://www.oracle.com/index.html,Oracle,oraclewebcenter ,oracleEPMBI,http://www.facebook.com/Oracle,http://www.facebook.com/pages/ORACLE/12707511657,N/A,650-506-7000 ,http://www.oracle.com/us/corporate/contact/index.html
3M,http://www.3m.com/,3MNews ,3MInnovacion,FiltreteWater,http://www.facebook.com/pages/3M/107763352578136,http://www.facebook.com/3MNewMedia,N/A,888-364-3577,http://solutions.3m.com/wps/portal/3M/en_US/WW2/Country/Corp/Contact3M/
Deere,http://www.deere.com/en_US/deerecom/index.html,JohnDeere,JDCLASSIC,JohnDeereRDOE,http://www.facebook.com/JohnDeere,http://www.facebook.com/apps/application.php?id=168621499818171,N/A,N/A,http://www.deere.com/wps/dcom/en_US/corporate/our_company/contact_us/contact_us.page?
Plains All American Pipeline,http://www.paalp.com/,N/A,N/A,N/A,http://www.facebook.com/pages/Plains-All-American-Pipeline/112764778737496,N/A,N/A,713-646-4100,http://www.paalp.com/
Rite Aid,http://www.riteaid.com/,riteaid,XritePhoto,BiRiteSF,http://www.facebook.com/riteaid,N/A,N/A,717-761-2633,http://www.riteaid.com/contact_us/
